numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
4,110,540,36,125,0.31,"Sales","None",3.5,0.42,52800.00
6,170,480,72,110,0.27,"Sales;Support","None",3.7,0.47,105600.00
8,230,430,108,100,0.24,"Support","CRM",3.9,0.52,158400.00
10,290,390,144,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,211200.00
12,350,360,180,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,264000.00
14,410,340,216,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,316800.00
16,470,325,252,78,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,369600.00
18,530,310,288,75,0.17,"Support;Tech","CRM;AI;WFM",4.3,0.61,422400.00
20,590,300,324,72,0.16,"Support;Sales","CRM;AI;WFM",4.4,0.62,475200.00
22,650,290,360,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,528000.00
3,85,620,28,138,0.36,"Sales","None",3.4,0.39,40800.00
5,145,540,64,118,0.29,"Sales;Support","None",3.7,0.46,116000.00
7,205,480,100,102,0.25,"Support","CRM",3.9,0.51,174000.00
9,265,440,136,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,232000.00
11,325,410,172,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,290000.00
13,385,385,208,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,348000.00
15,445,365,244,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,406000.00
17,505,350,280,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,464000.00
19,565,335,316,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,522000.00
21,625,320,352,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,580000.00
6,200,430,84,106,0.25,"Sales","None",3.8,0.48,96000.00
8,260,390,120,96,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,360,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,340,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,325,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,310,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,295,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,416000.00
20,620,285,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,468000.00
22,680,275,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,520000.00
24,740,265,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,130,500,52,116,0.30,"Sales","None",3.6,0.45,78000.00
6,190,450,88,102,0.26,"Sales;Support","None",3.8,0.50,144000.00
8,250,410,124,94,0.23,"Support","CRM",4.0,0.54,210000.00
10,310,380,160,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,276000.00
12,370,355,196,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,342000.00
14,430,335,232,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,408000.00
16,490,320,268,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,474000.00
18,550,305,304,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,540000.00
20,610,295,340,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,606000.00
22,670,285,376,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,672000.00
3,95,620,30,140,0.35,"Sales","None",3.5,0.40,45600.00
5,155,540,66,118,0.29,"Sales;Support","None",3.7,0.46,124800.00
7,215,480,102,102,0.25,"Support","CRM",3.9,0.51,183600.00
9,275,440,138,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,242400.00
11,335,410,174,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,301200.00
13,395,385,210,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,360000.00
15,455,365,246,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,418800.00
17,515,350,282,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,477600.00
19,575,335,318,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,536400.00
21,635,320,354,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,595200.00
6,210,420,84,104,0.25,"Sales","None",3.8,0.48,168000.00
8,270,380,120,96,0.22,"Support;Sales","CRM",4.0,0.53,216000.00
10,330,350,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,264000.00
12,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,312000.00
14,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,510,300,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,408000.00
18,570,290,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,456000.00
20,630,280,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,504000.00
22,690,270,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,552000.00
24,750,260,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,600000.00
6,230,360,92,86,0.21,"Support;Sales","CRM;IVR",4.1,0.65,138240.00
8,290,320,118,80,0.19,"Support;Tech","CRM;WFM",4.2,0.67,184320.00
10,350,300,145,76,0.18,"Support;Sales","CRM;AI",4.3,0.69,230400.00
12,410,285,172,72,0.17,"Support;Tech","CRM;AI;CTI",4.3,0.70,276480.00
14,470,270,199,70,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.4,0.71,322560.00
16,530,260,226,68,0.15,"Support;Tech","CRM;WFM",4.4,0.72,368640.00
18,590,250,253,66,0.14,"Support;Sales","CRM;Training",4.4,0.73,414720.00
20,650,240,280,64,0.13,"Support;Tech","CRM;AI",4.5,0.74,460800.00
22,710,235,307,62,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.75,506880.00
24,770,230,334,60,0.12,"Support;Tech","CRM;AI;CTI",4.6,0.76,552960.00
5,150,480,48,112,0.28,"Sales","None",3.6,0.44,67200.00
7,210,420,84,100,0.24,"Sales;Support","CRM",3.8,0.50,134400.00
9,270,380,120,92,0.22,"Support","CRM;Training",4.0,0.54,201600.00
11,330,350,156,88,0.20,"Support;Tech","CRM;IVR",4.1,0.56,268800.00
13,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,336000.00
15,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,403200.00
17,510,300,264,78,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,470400.00
19,570,285,300,76,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,537600.00
21,630,275,336,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,604800.00
23,690,265,372,72,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,672000.00
4,110,540,36,125,0.31,"Sales","None",3.5,0.42,52800.00
6,170,480,72,110,0.27,"Sales;Support","None",3.7,0.47,105600.00
8,230,430,108,100,0.24,"Support","CRM",3.9,0.52,158400.00
10,290,390,144,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,211200.00
12,350,360,180,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,264000.00
14,410,340,216,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,316800.00
16,470,325,252,78,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,369600.00
18,530,310,288,75,0.17,"Support;Tech","CRM;AI;WFM",4.3,0.61,422400.00
20,590,300,324,72,0.16,"Support;Sales","CRM;AI;WFM",4.4,0.62,475200.00
22,650,290,360,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,528000.00
3,85,620,28,138,0.36,"Sales","None",3.4,0.39,40800.00
5,145,540,64,118,0.29,"Sales;Support","None",3.7,0.46,116000.00
7,205,480,100,102,0.25,"Support","CRM",3.9,0.51,174000.00
9,265,440,136,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,232000.00
11,325,410,172,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,290000.00
13,385,385,208,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,348000.00
15,445,365,244,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,406000.00
17,505,350,280,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,464000.00
19,565,335,316,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,522000.00
21,625,320,352,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,580000.00
6,200,430,84,106,0.25,"Sales","None",3.8,0.48,96000.00
8,260,390,120,96,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,360,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,340,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,325,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,310,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,295,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,416000.00
20,620,285,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,468000.00
22,680,275,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,520000.00
24,740,265,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,130,500,52,116,0.30,"Sales","None",3.6,0.45,78000.00
6,190,450,88,102,0.26,"Sales;Support","None",3.8,0.50,144000.00
8,250,410,124,94,0.23,"Support","CRM",4.0,0.54,210000.00
10,310,380,160,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,276000.00
12,370,355,196,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,342000.00
14,430,335,232,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,408000.00
16,490,320,268,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,474000.00
18,550,305,304,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,540000.00
20,610,295,340,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,606000.00
22,670,285,376,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,672000.00
3,95,620,30,140,0.35,"Sales","None",3.5,0.40,45600.00
5,155,540,66,118,0.29,"Sales;Support","None",3.7,0.46,124800.00
7,215,480,102,102,0.25,"Support","CRM",3.9,0.51,183600.00
9,275,440,138,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,242400.00
11,335,410,174,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,301200.00
13,395,385,210,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,360000.00
15,455,365,246,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,418800.00
17,515,350,282,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,477600.00
19,575,335,318,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,536400.00
21,635,320,354,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,595200.00
6,210,420,84,104,0.25,"Sales","None",3.8,0.48,168000.00
8,270,380,120,96,0.22,"Support;Sales","CRM",4.0,0.53,216000.00
10,330,350,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,264000.00
12,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,312000.00
14,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,510,300,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,408000.00
18,570,290,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,456000.00
20,630,280,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,504000.00
22,690,270,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,552000.00
24,750,260,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,600000.00
5,170,470,68,112,0.27,"Sales","None",3.7,0.46,136000.00
7,230,430,104,100,0.24,"Sales;Support","CRM",3.9,0.51,184000.00
9,290,390,140,92,0.22,"Support","CRM;Training",4.0,0.54,232000.00
11,350,360,176,86,0.20,"Support;Tech","CRM;IVR",4.1,0.56,280000.00
13,410,340,212,82,0.19,"Support;Sales","CRM;WFM",4.2,0.58,328000.00
15,470,320,248,78,0.18,"Support;Tech","CRM;AI",4.3,0.60,376000.00
17,530,305,284,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,424000.00
19,590,295,320,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,472000.00
21,650,285,356,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,520000.00
23,710,275,392,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,568000.00
6,240,360,90,86,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,320,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,153600.00
10,400,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,240000.00
12,480,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,326400.00
14,560,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,412800.00
16,640,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,499200.00
18,720,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,585600.00
20,800,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,672000.00
22,880,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,758400.00
24,960,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,844800.00
5,150,500,60,115,0.26,"Sales","None",3.7,0.48,75000.00
7,210,440,100,102,0.23,"Sales;Support","CRM",3.9,0.52,157500.00
9,270,400,140,94,0.21,"Support","CRM;Training",4.0,0.55,240000.00
11,330,370,180,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,322500.00
13,390,350,220,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,405000.00
15,450,330,260,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,487500.00
17,510,315,300,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,570000.00
19,570,300,340,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,652500.00
21,630,290,380,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,735000.00
23,690,280,420,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,817500.00
1,120,480,50,120,0.30,"Sales","None",3.6,0.45,57600.00
2,135,460,55,118,0.29,"Sales;Support","None",3.7,0.46,64800.00
3,150,440,60,116,0.28,"Support","None",3.8,0.47,72000.00
4,165,420,65,114,0.27,"Support;Tech","CRM",3.9,0.48,79200.00
5,180,400,70,112,0.26,"Support;Sales","CRM;IVR",4.0,0.49,86400.00
6,195,380,75,110,0.25,"Tech","CRM;WFM",4.0,0.50,93600.00
7,210,360,80,108,0.24,"Support;Tech","CRM;AI",4.1,0.51,100800.00
8,225,340,85,106,0.23,"Support;Sales","CRM;AI;WFM",4.1,0.52,108000.00
9,240,320,90,104,0.22,"Sales","CRM;Training",4.2,0.53,115200.00
10,255,300,95,102,0.21,"Support;Tech","CRM;CTI",4.2,0.54,122400.00
11,270,290,100,100,0.20,"Support;Sales;Tech","CRM;AI;WFM",4.3,0.55,129600.00
12,285,280,105,98,0.19,"Support","CRM;IVR",4.3,0.56,136800.00
13,300,270,110,96,0.18,"Tech","CRM;AI;CTI",4.4,0.57,144000.00
14,315,260,115,94,0.17,"Support;Sales","CRM;WFM",4.4,0.58,151200.00
15,330,250,120,92,0.16,"Support;Tech","CRM;AI",4.5,0.59,158400.00
16,345,240,125,90,0.15,"Sales","None",4.5,0.60,165600.00
17,360,230,130,88,0.14,"Support;Sales","CRM;Training",4.6,0.61,172800.00
18,375,220,135,86,0.13,"Support;Tech","CRM;AI;WFM",4.6,0.62,180000.00
19,390,210,140,84,0.12,"Tech","CRM;CTI",4.7,0.63,187200.00
20,405,200,145,82,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.64,194400.00
21,420,195,150,80,0.11,"Support","CRM;IVR",4.7,0.65,201600.00
22,435,190,155,78,0.10,"Sales;Support","CRM;WFM",4.8,0.66,208800.00
23,450,185,160,76,0.10,"Tech;Support","CRM;AI",4.8,0.67,216000.00
24,465,180,165,74,0.09,"Support;Sales","CRM;AI;CTI",4.8,0.68,223200.00
25,480,175,170,72,0.09,"Support;Tech","CRM;AI;WFM",4.9,0.69,230400.00
26,495,170,175,70,0.08,"Sales","None",4.9,0.70,237600.00
27,510,165,180,68,0.08,"Support;Sales","CRM;Training",4.9,0.71,244800.00
28,525,160,185,66,0.07,"Support;Tech","CRM;AI",5.0,0.72,252000.00
29,540,155,190,64,0.07,"Tech","CRM;CTI",5.0,0.73,259200.00
30,555,150,195,62,0.07,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.74,266400.00
31,570,148,200,60,0.06,"Support","CRM;IVR",5.0,0.75,273600.00
32,585,146,205,58,0.06,"Sales;Support","CRM;WFM",5.0,0.76,280800.00
33,600,144,210,56,0.06,"Tech;Support","CRM;AI",5.0,0.77,288000.00
34,615,142,215,54,0.05,"Support;Sales","CRM;AI;CTI",5.0,0.78,295200.00
35,630,140,220,52,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.79,302400.00
36,645,138,225,50,0.05,"Sales","None",5.0,0.80,309600.00
37,660,136,230,48,0.05,"Support;Sales","CRM;Training",5.0,0.81,316800.00
38,675,134,235,46,0.04,"Support;Tech","CRM;AI",5.0,0.82,324000.00
39,690,132,240,44,0.04,"Tech","CRM;CTI",5.0,0.83,331200.00
40,705,130,245,42,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.84,338400.00
41,720,128,250,40,0.04,"Support","CRM;IVR",5.0,0.85,345600.00
42,735,126,255,39,0.04,"Sales;Support","CRM;WFM",5.0,0.86,352800.00
43,750,124,260,38,0.03,"Tech;Support","CRM;AI",5.0,0.87,360000.00
44,765,122,265,37,0.03,"Support;Sales","CRM;AI;CTI",5.0,0.88,367200.00
45,780,120,270,36,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.89,374400.00
46,795,118,275,35,0.03,"Sales","None",5.0,0.90,381600.00
47,810,116,280,34,0.03,"Support;Sales","CRM;Training",5.0,0.91,388800.00
48,825,114,285,33,0.03,"Support;Tech","CRM;AI",5.0,0.92,396000.00
49,840,112,290,32,0.02,"Tech","CRM;CTI",5.0,0.93,403200.00
50,855,110,295,31,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.94,410400.00
51,870,108,300,30,0.02,"Support","CRM;IVR",5.0,0.95,417600.00
52,885,106,305,30,0.02,"Sales;Support","CRM;WFM",5.0,0.96,424800.00
53,900,104,310,30,0.02,"Tech;Support","CRM;AI",5.0,0.97,432000.00
54,915,102,315,30,0.02,"Support;Sales","CRM;AI;CTI",5.0,0.98,439200.00
55,930,100,320,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.99,446400.00
56,945,98,325,30,0.02,"Sales","None",5.0,1.00,453600.00
57,960,96,330,30,0.02,"Support;Sales","CRM;Training",5.0,1.00,460800.00
58,975,94,335,30,0.02,"Support;Tech","CRM;AI",5.0,1.00,468000.00
59,990,92,340,30,0.02,"Tech","CRM;CTI",5.0,1.00,475200.00
60,1005,90,345,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,482400.00
61,1020,88,350,30,0.02,"Support","CRM;IVR",5.0,1.00,489600.00
62,1035,86,355,30,0.02,"Sales;Support","CRM;WFM",5.0,1.00,496800.00
63,1050,84,360,30,0.02,"Tech;Support","CRM;AI",5.0,1.00,504000.00
64,1065,82,365,30,0.02,"Support;Sales","CRM;AI;CTI",5.0,1.00,511200.00
65,1080,80,370,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,518400.00
66,1095,78,375,30,0.02,"Sales","None",5.0,1.00,525600.00
67,1110,76,380,30,0.02,"Support;Sales","CRM;Training",5.0,1.00,532800.00
68,1125,74,385,30,0.02,"Support;Tech","CRM;AI",5.0,1.00,540000.00
69,1140,72,390,30,0.02,"Tech","CRM;CTI",5.0,1.00,547200.00
70,1155,70,395,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,554400.00
71,1170,68,400,30,0.02,"Support","CRM;IVR",5.0,1.00,561600.00
72,1185,66,405,30,0.02,"Sales;Support","CRM;WFM",5.0,1.00,568800.00
73,1200,64,410,30,0.02,"Tech;Support","CRM;AI",5.0,1.00,576000.00
74,1215,62,415,30,0.02,"Support;Sales","CRM;AI;CTI",5.0,1.00,583200.00
75,1230,60,420,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,590400.00
76,1245,58,425,30,0.02,"Sales","None",5.0,1.00,597600.00
77,1260,56,430,30,0.02,"Support;Sales","CRM;Training",5.0,1.00,604800.00
78,1275,54,435,30,0.02,"Support;Tech","CRM;AI",5.0,1.00,612000.00
79,1290,52,440,30,0.02,"Tech","CRM;CTI",5.0,1.00,619200.00
80,1305,50,445,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,626400.00
81,1320,48,450,30,0.02,"Support","CRM;IVR",5.0,1.00,633600.00
82,1335,46,455,30,0.02,"Sales;Support","CRM;WFM",5.0,1.00,640800.00
83,1350,44,460,30,0.02,"Tech;Support","CRM;AI",5.0,1.00,648000.00
84,1365,42,465,30,0.02,"Support;Sales","CRM;AI;CTI",5.0,1.00,655200.00
85,1380,40,470,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,662400.00
86,1395,38,475,30,0.02,"Sales","None",5.0,1.00,669600.00
87,1410,36,480,30,0.02,"Support;Sales","CRM;Training",5.0,1.00,676800.00
88,1425,34,485,30,0.02,"Support;Tech","CRM;AI",5.0,1.00,684000.00
89,1440,32,490,30,0.02,"Tech","CRM;CTI",5.0,1.00,691200.00
90,1455,30,495,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,698400.00
91,1470,28,500,30,0.02,"Support","CRM;IVR",5.0,1.00,705600.00
92,1485,26,505,30,0.02,"Sales;Support","CRM;WFM",5.0,1.00,712800.00
93,1500,24,510,30,0.02,"Tech;Support","CRM;AI",5.0,1.00,720000.00
94,1515,22,515,30,0.02,"Support;Sales","CRM;AI;CTI",5.0,1.00,727200.00
95,1530,20,520,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,734400.00
96,1545,18,525,30,0.02,"Sales","None",5.0,1.00,741600.00
97,1560,16,530,30,0.02,"Support;Sales","CRM;Training",5.0,1.00,748800.00
98,1575,14,535,30,0.02,"Support;Tech","CRM;AI",5.0,1.00,756000.00
99,1590,12,540,30,0.02,"Tech","CRM;CTI",5.0,1.00,763200.00
100,1605,10,545,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,770400.00
